	c1	c2	c3	c4	c5	c6	c7	label
0	1	0	1	1	2	1	0.0994811973216631	1
1	1	0	1	0	0	0	0.19673893693794584	1
2	1	0	1	0	1	0	0.13227102014465408	0
3	1	1	1	0	0	0	0.0983694684689729	0
4	1	2	1	0	2	0	0.2317522174663172	0
5	1	2	1	0	0	0	0.06557964564598194	0
6	1	2	1	0	2	0	0.26454204028930817	0
7	1	0	1	0	859	244	0.06557964564598194	0
8	1	0	1	0	2	1	0.1989623946433262	1
9	1	0	1	0	0	0	0.03278982282299097	1
10	1	0	1	0	4	0	0.26565376914199834	0
11	1	0	1	1	856	244	0.0	1
12	2	2	2	0	7	1	0.5979989127826688	0
13	2	2	2	0	3	0	0.2984435919649893	0
14	2	0	2	0	858	244	0.13227102014465408	0
15	2	0	2	0	1	2	0.19785066579063604	0
16	2	1	2	0	0	0	0.0983694684689729	0
17	2	0	2	0	1	0	0.19785066579063604	0
18	3	2	3	0	856	244	0.06557964564598194	0
19	3	2	3	0	20	0	0.2317522174663172	0
20	3	0	3	0	2	0	0.29733186311229914	0
21	3	2	3	0	1	0	0.13227102014465408	1
22	3	3	3	0	1	1	0.13227102014465408	1
23	3	2	3	0	1	3	0.16506084296764506	0
24	3	2	3	0	858	244	0.29733186311229914	1
