,SKU,Category,Price,Brand,Model,linkofproduct
0,OnePlus Y Series 80 cm (32 inches) HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),Smart Televisions,"₹ 13,990.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A08805473Q8ZCGCAGSKOP&url=%2FOnePlus-inches-Ready-Android-32Y1%2Fdp%2FB08B42LWKN%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1596287247%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1604444512&id=3015057850281732&widgetName=sp_atf_browse
1,TCL 138.78 cm (55 inches)  AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model),Smart Televisions,"₹ 34,999.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A005130611EOM9G22AGU7&url=%2FTCL-138-78-Certified-Android-55P8%2Fdp%2FB07TMRFDP8%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1596287247%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-2-spons%26psc%3D1&qualifier=1604444512&id=3015057850281732&widgetName=sp_atf_browse
2,OnePlus Y Series 80 cm (32 inches) HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),Smart Televisions,"₹ 13,990.00",,,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_3?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-3
3,Mi TV 4A PRO 80 cm (32 inches) HD Ready Android LED TV (Black) | With Data Saver,Smart Televisions,"₹ 13,499.00",,,https://www.amazon.in/Mi-inches-Ready-Android-Black/dp/B084872DQY/ref=sr_1_4?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-4
4,OnePlus Y Series 108 cm (43 inches) Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Smart Televisions,"₹ 23,990.00",,,https://www.amazon.in/OnePlus-inches-Smart-Android-43Y1/dp/B08B42HNH7/ref=sr_1_5?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-5
5,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray) (2020 Model),Smart Televisions,"₹ 14,490.00",,,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_6?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-6
6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340AKXXL (Glossy Black) (2020 Model),Smart Televisions,"₹ 14,499.00",,,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340AKXXL-Glossy/dp/B086WZSK4F/ref=sr_1_7?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-7
7,Mi TV 4X 138.8 cm (55 Inches) Ultra HD Android LED TV (Black),Smart Televisions,"₹ 36,999.00",,,https://www.amazon.in/Mi-138-8-Inches-Ultra-Android/dp/B081Z1RQLV/ref=sr_1_8?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-8
8,TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6500FS (Black) (2020 Model),Smart Televisions,"₹ 17,999.00",,,https://www.amazon.in/TCL-100-3cm-inches-Android-Smart/dp/B07KCCWJTP/ref=sr_1_9?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-9
9,LG 108 cm (43 inches) Full HD LED Smart TV 43LM5650PTA (Ceramic Black) (2020 Model),Smart Televisions,"₹ 28,980.00",,,https://www.amazon.in/LG-inches-Smart-43LM5650PTA-Ceramic/dp/B08G21VNQQ/ref=sr_1_10?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-10
