,make,model
0,Mercedes-Benz,2002
1,Mercedes-Benz,i3
2,Mercedes-Benz,i8
3,Mercedes-Benz,iX3
4,Mercedes-Benz,M1
5,Mercedes-Benz,Série 1 (tous)
6,Mercedes-Benz,114
7,Mercedes-Benz,116
8,Mercedes-Benz,118
9,Mercedes-Benz,120
10,Mercedes-Benz,123
11,Mercedes-Benz,125
12,Mercedes-Benz,130
13,Mercedes-Benz,135
14,Mercedes-Benz,140
15,Mercedes-Benz,Série 2 (tous)
16,Mercedes-Benz,214
17,Mercedes-Benz,216
18,Mercedes-Benz,218
19,Mercedes-Benz,220
20,Mercedes-Benz,225
21,Mercedes-Benz,228
22,Mercedes-Benz,230
23,Mercedes-Benz,235
24,Mercedes-Benz,240
25,Mercedes-Benz,Série 3 (tous)
26,Mercedes-Benz,315
27,Mercedes-Benz,316
28,Mercedes-Benz,318
29,Mercedes-Benz,320
30,Mercedes-Benz,323
31,Mercedes-Benz,324
32,Mercedes-Benz,325
33,Mercedes-Benz,328
34,Mercedes-Benz,330
35,Mercedes-Benz,335
36,Mercedes-Benz,340
37,Mercedes-Benz,Active Hybrid 3
38,Mercedes-Benz,Série 4 (tous)
39,Mercedes-Benz,418
40,Mercedes-Benz,420
41,Mercedes-Benz,425
42,Mercedes-Benz,428
43,Mercedes-Benz,430
44,Mercedes-Benz,435
45,Mercedes-Benz,440
46,Mercedes-Benz,Série 5 (tous)
47,Mercedes-Benz,518
48,Mercedes-Benz,520
49,Mercedes-Benz,523
50,Mercedes-Benz,524
51,Mercedes-Benz,525
52,Mercedes-Benz,528
53,Mercedes-Benz,530
54,Mercedes-Benz,535
55,Mercedes-Benz,540
56,Mercedes-Benz,545
57,Mercedes-Benz,550
58,Mercedes-Benz,Active Hybrid 5
59,Mercedes-Benz,Série 6 (tous)
60,Mercedes-Benz,620
61,Mercedes-Benz,628
62,Mercedes-Benz,630
63,Mercedes-Benz,633
64,Mercedes-Benz,635
65,Mercedes-Benz,640
66,Mercedes-Benz,645
67,Mercedes-Benz,650
68,Mercedes-Benz,Série 7 (tous)
69,Mercedes-Benz,725
70,Mercedes-Benz,728
71,Mercedes-Benz,730
72,Mercedes-Benz,732
73,Mercedes-Benz,735
74,Mercedes-Benz,740
75,Mercedes-Benz,745
76,Mercedes-Benz,750
77,Mercedes-Benz,760
78,Mercedes-Benz,Active Hybrid 7
79,Mercedes-Benz,Série 8 (tous)
80,Mercedes-Benz,830
81,Mercedes-Benz,840
82,Mercedes-Benz,850
83,Mercedes-Benz,Série M (tous)
84,Mercedes-Benz,1er M Coupé
85,Mercedes-Benz,M2
86,Mercedes-Benz,M3
87,Mercedes-Benz,M4
88,Mercedes-Benz,M5
89,Mercedes-Benz,M6
90,Mercedes-Benz,M8
91,Mercedes-Benz,M850
92,Mercedes-Benz,Série X (tous)
93,Mercedes-Benz,Active Hybrid X6
94,Mercedes-Benz,X1
95,Mercedes-Benz,X2
96,Mercedes-Benz,X2 M
97,Mercedes-Benz,X3
98,Mercedes-Benz,X3 M
99,Mercedes-Benz,X4
100,Mercedes-Benz,X4 M
101,Mercedes-Benz,X5
102,Mercedes-Benz,X5 M
103,Mercedes-Benz,X6
104,Mercedes-Benz,X6 M
105,Mercedes-Benz,X7
106,Mercedes-Benz,X7 M
107,Mercedes-Benz,Série Z (tous)
108,Mercedes-Benz,Z1
109,Mercedes-Benz,Z3
110,Mercedes-Benz,Z3 M
111,Mercedes-Benz,Z4
112,Mercedes-Benz,Z4 M
113,Mercedes-Benz,Z8
114,Mercedes-Benz,Autres
115,BMW,170
116,BMW,180
117,BMW,190
118,BMW,200
119,BMW,208
120,BMW,210/310
121,BMW,220
122,BMW,230
123,BMW,240
124,BMW,250
125,BMW,260
126,BMW,270
127,BMW,280
128,BMW,300
129,BMW,308
130,BMW,320
131,BMW,350
132,BMW,380
133,BMW,400
134,BMW,416
135,BMW,420
136,BMW,450
137,BMW,500
138,BMW,560
139,BMW,600
140,BMW,Actros
141,BMW,AMG GT
142,BMW,Atego
143,BMW,CE (tous)
144,BMW,CE 200
145,BMW,CE 220
146,BMW,CE 230
147,BMW,CE 280
148,BMW,CE 300
149,BMW,Citan
150,BMW,CL (tous)
151,BMW,CL
152,BMW,CL 160
153,BMW,CL 180
154,BMW,CL 200
155,BMW,CL 220
156,BMW,CL 230
157,BMW,CL 320
158,BMW,CL 420
159,BMW,CL 500
160,BMW,CL 55 AMG
161,BMW,CL 600
162,BMW,CL 63 AMG
163,BMW,CL 65 AMG
164,BMW,CLA (tous)
165,BMW,CLA 180
166,BMW,CLA 200
167,BMW,CLA 220
168,BMW,CLA 250
169,BMW,CLA 35 AMG
170,BMW,CLA 45 AMG
171,BMW,Classe A (tous)
172,BMW,A 140
173,BMW,A 150
174,BMW,A 160
175,BMW,A 170
176,BMW,A 180
177,BMW,A 190
178,BMW,A 200
179,BMW,A 210
180,BMW,A 220
181,BMW,A 250
182,BMW,A 35 AMG
183,BMW,A 45 AMG
