,name,price,mile_age,make,model,fuel,power,transmission,engine_size,description,linkofproduct,year
0,voiture,0 DT,0,AC,Seven,Essence,23,Autre,Autres,🚘🚖🚛🚍🚜تحب تشري كرهبة مع 3S LEASING SERVICE 🚘🚗🚕🚖⛽ 🎁🎁🎁🎁🎁🎁🎁📣📣📣📣📣📣,https://www.tayara.tn/listings/voitures-9/fcee8b70-acf9-4282-a9a8-8d992d5d7f36/voiture,2021
1,hyundai i10 sedan,0 DT,170000,Hyundai,Grand i10,Essence,5,Gris,Berline,Tel 20329598,https://www.tayara.tn/listings/voitures-9/9d48b2ff-ef22-423c-b6ad-c177d84eb598/hyundai-i10-sedan,2016
2,Volvo c30,0 DT,117,Volvo,C30,Essence,6,Blanc,Compacte,Volvo c30 très propre,https://www.tayara.tn/listings/voitures-9/49a05e23-b0e8-4394-9ff6-2d04356c7696/volvo-c30,2011
3,Mercedes,0 DT,340000,Mercedes-Benz,Classe ML,Diesel,11,4 x 4,Automatique,Tout option,https://www.tayara.tn/listings/voitures-9/fd385ae8-e12c-45d4-b575-30a6730c102b/mercedes-,2005
4,Citroën DS4,41 000 DT,131000,Citroen,DS4,Essence,7,Noir,Autres,"À ventre une très belle Ds4,très propre ,moteur intacte, en possession dune femme.prix très peu négociable.Non sérieux et gachara s'abstenir. merci d'appeler pendant la journée",https://www.tayara.tn/listings/voitures-9/77bf024a-a74e-40e0-940b-eb1fa7d091a8/citro%C3%ABn-ds4,2014
5,kango assisté moteur R19 jdid chasiyet dorigine fi sfax 3taw 8000 d 28564154,100 DT,244,Renault,Kangoo,Diesel,7,Manuelle,1.9,,https://www.tayara.tn/listings/voitures-9/230082b4-ffd2-4864-8a57-ad6d7b316be3/kango-assist%C3%A9-moteur-r19-jdid-chasiyet-dorigine-fi-sfax-3taw-8000-d-28564154,2003
6,hyundai i10 comme neuf tt option tél 26489222,26 500 DT,125000,Hyundai,I 10,Essence,5,Orange,Berline,hyundai i10 comme neuf tt option,https://www.tayara.tn/listings/voitures-9/ae23691d-ed2c-4a24-bfd6-ef8f40b3f919/hyundai-i10-comme-neuf-tt-option-t%C3%A9l-26489222,2016
7,,,,,,,,,,,https://www.tayara.tn/listings/voitures-9/3d8bee27-c563-41cf-a9c2-887f28bdae07/palio-3,2010
8,Avendre ou échange mg3,33 DT,150,Autres,Autres,Essence,5,Rouge,Utilitaire,Mg3 rouge,https://www.tayara.tn/listings/voitures-9/8da62914-61f6-4124-b3a6-5793f5ba3c52/avendre-ou-%C3%A9change-mg3,2017
9,coupel malinois ras pur,270 DT,0,Skoda,Fabia,Diesel,0,Automatique,1.4,7aja meziena barcha,https://www.tayara.tn/listings/voitures-9/530557fd-8491-4056-b2c5-c33e3ae6d615/coupel-malinois-ras-pur,2020
10,brilliance bs6 2.0 deluxe,0 DT,0,BMW,Serie 5,Essence,8,Berline,Avec kilométrage,"tout les entretiens récemment fait (chaîne distribution, croix alternateeur, bougie,.....)",https://www.tayara.tn/listings/voitures-9/b024a82d-4a82-48e6-ae39-a158cbf56c5f/brilliance-bs6-2-0-deluxe,2007
11,Turbo Mazda bt50,1 000 DT,150000,Mazda,BT-50,Diesel,11,Manuelle,2.5,En parfait état.. Presque neuf garantie,https://www.tayara.tn/listings/voitures-9/01577f9e-065a-4ee0-9d4b-516a4e934879/turbo-mazda-bt50,2014
12,marcedes,0 DT,200,Mercedes-Benz,Classe C,Essence,9,Noir,Compacte,marcedes nthifaaa tout option 53228526,https://www.tayara.tn/listings/voitures-9/ee5469a9-118f-4cff-9a93-19b3a6f8e454/marcedes-,2008
13,une belle 206 sedan,16 500 DT,226000,Peugeot,206 SW,Essence,6,Gris,Avec kilométrage,une belle 206 sedan,https://www.tayara.tn/listings/voitures-9/cb72f43b-7282-483a-b2c4-9698fbb31d97/une-belle-206-sedan,208
