,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,price,mile_age,make,model,year,fuel,power,car_body_style,vehicle_condition,color,transmission,engine_size,description,linkofproduct
0,0.0,0.0,0.0,Ford Kuga Trend 1.5 BVM,0 DT,77000.0,Ford,Kuga,2018.0,Essence,8.0,Autres,Avec kilométrage,Vert,Manuelle,1.5,Pas d'échange et courtier s'abstenir.,https://www.tayara.tn/listings/voitures-9/6845cbbd-e004-465d-a68b-fb9cba2418c0/ford-kuga-trend-1-5-bvm-
1,1.0,1.0,1.0,Peugeot 208,0 DT,128000.0,Peugeot,208,2017.0,Essence,5.0,Autres,Avec kilométrage,Orange,Manuelle,1.2,A vender une très belle Peugeot 208 en très bonne état,https://www.tayara.tn/listings/voitures-9/a472ef9c-8db3-4e30-a49a-9960126124db/peugeot-208
2,2.0,2.0,2.0,CITROËN C4🚘 ✅1ère main ✅,0 DT,124000.0,Citroen,C4,2014.0,Essence,6.0,1.4,,Manuelle,,,CITROËN C4🚘,https://www.tayara.tn/listings/voitures-9/2f7f30ad-d1c0-46e0-95e3-0b275f1bc8cf/citro%C3%ABn-c4%F0%9F%9A%98-%E2%9C%851%C3%A8re-main-%E2%9C%85
3,3.0,3.0,3.0,🏁 Citroën DS4 🏁,39 500 DT,150000.0,Citroen,DS4,2013.0,Diesel,6.0,1.6,,Manuelle,,,🏁 Citroën DS4 🏁,https://www.tayara.tn/listings/voitures-9/113b2bb7-8cec-46e6-8be3-680aaf519d0e/%F0%9F%8F%81-citro%C3%ABn-ds4-%F0%9F%8F%81
4,4.0,4.0,4.0,SEAT LEON 2018,0 DT,71000.0,Seat,Leon,2018.0,Essence,6.0,Compacte,Avec kilométrage,Autre,Manuelle,1.2,à vendre Seat Léon style plus en très bon état première main,https://www.tayara.tn/listings/voitures-9/0602d6fb-158a-4fe6-b780-db0c3bb1c424/seat-leon-2018
5,5.0,5.0,5.0,Volkswagen Golf 7 Tn219 Cup Bluemotion TDI fin 2015 importée Full option,0 DT,98000.0,Volkswagen,Golf 7,2016.0,Diesel,5.0,1.6,,Manuelle,,,Tel : 21912839 / 53484585,https://www.tayara.tn/listings/voitures-9/16b3ddec-a085-4ec1-8a3f-7dfa8d3d29ab/volkswagen-golf-7-tn219-cup-bluemotion-tdi-fin-2015-import%C3%A9e-full-option
6,6.0,6.0,6.0,Mazda bt 50 4×4,32 000 DT,250.0,Mazda,BT-50,2013.0,Diesel,9.0,4 x 4,Avec kilométrage,Noir,Manuelle,1.9,Mazda bt 50 4×4 1er main,https://www.tayara.tn/listings/voitures-9/6f5a11f9-6157-4713-b8d3-abb861b37676/mazda-bt-50-4%C3%974
7,7.0,7.0,7.0,Citroën berlingo,23 400 DT,132.0,Citroen,Berlingo,2012.0,Diesel,7.0,Utilitaire,Nouveau,Blanc,Manuelle,1.9,Première main avec peinture d'origine tt options.,https://www.tayara.tn/listings/voitures-9/23da0955-ae1b-441c-90fb-e3fe2d74d280/citro%C3%ABn-berlingo-
8,8.0,8.0,8.0,Seat leon TSI,40 000 DT,145.0,Seat,Leon,2013.0,Essence,5.0,Berline,Avec kilométrage,Noir,Manuelle,1.2,Tel 90570889,https://www.tayara.tn/listings/voitures-9/385b0dd5-758c-4f1b-a525-c51a62a45db2/seat-leon-tsi
9,9.0,9.0,9.0,Megane 2 phase 2 1.5 dci,16 000 DT,220000.0,Renault,Megane,2005.0,Diesel,5.0,Berline,Avec kilométrage,Blanc,Manuelle,1.5,,https://www.tayara.tn/listings/voitures-9/7459c442-7019-4724-89df-65baaa5c674d/megane-2-phase-2-1-5-dci
10,10.0,10.0,10.0,Clio Classique,16 500 DT,180000.0,Renault,Clio,2002.0,Essence,5.0,Berline,Avec kilométrage,Gris,Manuelle,>4.0,Voiture tt options,https://www.tayara.tn/listings/voitures-9/cce833aa-facd-474f-8750-acbffd916e59/clio-classique-
11,11.0,11.0,11.0,27528016,0 DT,300.0,Volkswagen,Bora,2000.0,Diesel,123.0,Autres,Avec kilométrage,Bleu,Manuelle,1.4,b5 ndifa,https://www.tayara.tn/listings/voitures-9/651b54ac-aa3c-4827-b19d-5cf003e8c505/27528016
12,12.0,12.0,12.0,OKTAVIA 2018 150CH,69 DT,68.0,Skoda,Octavia,20018.0,Essence,8.0,Berline,Nouveau,Noir,Automatique,1.4,karahba jdida kol chay faha,https://www.tayara.tn/listings/voitures-9/6b0a0319-9dfe-4e8b-95fb-d208a42ba4a0/oktavia-2018-150ch
13,13.0,13.0,13.0,CLIO DYNAMIC 4 CYLINDRES PREMIERE MAIN TEL 23 020 407,37 500 DT,90000.0,Renault,Clio,2016.0,Essence,5.0,Compacte,Avec kilométrage,Noir,Manuelle,1.4,CLIO DYNAMIC PREMIERE MAIN 4 CYLINDRES ETAT ORIGINE COMME NEUF TRES BIEN ENTRETENUE PRIX LEGEREMENT NEGOCIABLE TEL 23 020 407,https://www.tayara.tn/listings/voitures-9/c655c0f6-9c6f-49f9-8c90-4efbe1561b83/clio-dynamic-4-cylindres-premiere-main-tel-23-020-407
14,14.0,14.0,14.0,Passat,25 000 DT,267000.0,Volkswagen,Passat,2008.0,Diesel,6.0,1.9,,Manuelle,,,A vendre Passat B6 1.9 Tdi annee 2008,https://www.tayara.tn/listings/voitures-9/db0d5741-a330-4f88-be57-5380f8c32b0d/passat
15,15.0,15.0,15.0,SUSUKI SWIFT HAUTE GAMME PREMIÈRE MAIN EN ETAT,0 DT,70000.0,Suzuki,Swift,2017.0,Essence,5.0,1.2,,Manuelle,,,SUSUKI SWIFT HAUTE GAMMEPREMIÈRE,https://www.tayara.tn/listings/voitures-9/a9dc82c5-01e5-4063-b64d-79dd2501f2c6/susuki-swift-haute-gamme-premi%C3%A8re-main-en-etat
16,16.0,16.0,16.0,Isuzu ndifa barcha kol Chay fiha d'origine,32 000 000 DT,400000.0,Isuzu,Landwind,2000.0,Diesel,10.0,Compacte,Avec kilométrage,Blanc,Manuelle,2.5,98549438,https://www.tayara.tn/listings/voitures-9/c4975544-a98b-4184-ae3d-21e6cf429387/isuzu-ndifa-barcha-kol-chay-fiha-d'origine-
17,17.0,17.0,17.0,Range Rover Sport autobiography TU 220,165 000 DT,147500.0,Land Rover,Range Rover Sport,2011.0,Diesel,16.0,4 x 4,Avec kilométrage,Noir,Automatique,3.0,👉 A VENDRE RANGE ROVER SPORT PHASE 2 KIT AUTOBIOGRAPHY 3 litres diesel . Svp pas de dérangement après 19H00,https://www.tayara.tn/listings/voitures-9/a16f7e84-5c31-4b98-a9fd-fc5e3482fe5f/range-rover-sport-autobiography-tu-220
18,18.0,18.0,18.0,Porsche Cayenne kit turbo,174 000 DT,150000.0,Porsche,Cayenne,2012.0,Essence,21.0,4 x 4,Avec kilométrage,Noir,Automatique,>4.0,A Vendre Porsche Cayenne kit turbo 21 cv . Svp pas de dérangement après 19H00,https://www.tayara.tn/listings/voitures-9/ef8013be-8d79-43a8-8bab-381a9ce134ba/porsche-cayenne-kit-turbo
19,19.0,19.0,19.0,PORSCHE CAYENNE 💎PLATINIUM ÉDITION V6 👌Age 3 ans🚘,0 DT,47000.0,Porsche,Cayenne,2017.0,Essence,20.0,4 x 4,Avec kilométrage,Noir,Automatique,3.5,👉 A VENDRE OU À ÉCHANGE PORSCHE CAYENNE 💎PLATINIUM ÉDITION V6 👌,https://www.tayara.tn/listings/voitures-9/46d77ba6-50c9-4576-a31e-43f6e35a0e61/porsche-cayenne-%F0%9F%92%8Eplatinium-%C3%A9dition-v6-%F0%9F%91%8Cage-3-ans%F0%9F%9A%98
20,20.0,20.0,20.0,E 180 KIT AMG TOIT PANO 7000 KM 🚘,217 000 DT,7000.0,Mercedes-Benz,Classe E,2018.0,Essence,9.0,Utilitaire,Nouveau,Blanc,Automatique,1.6,🆕 A Vendre 🚘 👑 E180 KIT AMG 👰 BVA Toit panoramique ouvrant.,https://www.tayara.tn/listings/voitures-9/20b14a0f-95f5-49fa-aba5-7a13d027393d/e-180-kit-amg-toit-pano-7000-km-%F0%9F%9A%98
21,21.0,21.0,21.0,S 350 KIT AMG phase 2 full🚘,138 500 DT,160000.0,Mercedes-Benz,Classe S,2010.0,Essence,18.0,Berline,Avec kilométrage,Noir,Automatique,3.5,A Vendre 🚘 👑 S 350 KIT AMG 👰 BVA Toit ouvrant 3.5L V6 24S.,https://www.tayara.tn/listings/voitures-9/050194d4-5637-4c14-83d9-3f7ac799fefe/s-350-kit-amg-phase-2-full%F0%9F%9A%98
22,22.0,22.0,22.0,voiture,6 500 DT,300000.0,Opel,Astra,1999.0,Diesel,5.0,Berline,Avec kilométrage,Jaune,Manuelle,1.9,opel Astra f ex taxi Ilya 05 ans avec 04 porte et avec mâle moteur changé ilya 03 mois,https://www.tayara.tn/listings/voitures-9/79cdb585-61db-4ab2-88cb-be6940725dc0/voiture
23,23.0,23.0,23.0,symbol,27 800 DT,100.0,Renault,Symbol,2018.0,Essence,5.0,Berline,Avec kilométrage,Gris,Manuelle,1.2,a vendre symbol 1 er main en très bon état,https://www.tayara.tn/listings/voitures-9/082977fb-4c66-4424-b877-c6da71f630ce/symbol
24,24.0,24.0,24.0,symbol très propre 52397360,19 200 DT,200.0,Citroen,Berlingo,2012.0,Diesel,5.0,1.2,,Manuelle,,,symbol très propre toutes options assistés climatisés vitres électrique fermeture centralisée avec 4pneus neufs tél 52397360,https://www.tayara.tn/listings/voitures-9/232ef855-ccc4-4d1f-a909-ff5642fc3b2d/symbol-tr%C3%A8s-propre-52397360
25,25.0,25.0,25.0,Isuzu Dmax,56 500 DT,180.0,Isuzu,D-MAX,2011.0,Diesel,10.0,Utilitaire,Nouveau,Noir,Manuelle,2.5,Première main avec peinture d'origine tt options .,https://www.tayara.tn/listings/voitures-9/5d06596e-bd17-43ee-8aae-a45d3882868b/isuzu-dmax-
26,26.0,26.0,26.0,voiture,5 000 DT,250000.0,Ford,Escort,1982.0,Essence,5.0,Berline,Avec kilométrage,Blanc,Manuelle,>4.0,Ford escort,https://www.tayara.tn/listings/voitures-9/49a63bc3-c2c9-4c6a-b80c-0a244617e3db/voiture
